week,city,channel,spend,impressions,clicks,attributed_conversions
2024-01-01,Berlin,Google Ads,9913.94,371111,11227,517
2024-01-01,Berlin,Meta,8980.36,262521,5488,382
2024-01-01,Berlin,Email,0.0,19937,750,48
2024-01-01,Berlin,Organic,0.0,34340,969,66
2024-01-01,Berlin,Affiliate,2882.0,98249,2417,136
2024-01-08,Berlin,Google Ads,10441.04,303836,9200,612
2024-01-08,Berlin,Meta,9525.14,340934,5637,365
2024-01-08,Berlin,Email,0.0,13458,511,28
2024-01-08,Berlin,Organic,0.0,35827,965,46
2024-01-08,Berlin,Affiliate,3037.2,119620,4095,143
2024-01-15,Berlin,Google Ads,9219.54,280358,7529,508
2024-01-15,Berlin,Meta,8941.59,293663,7073,483
2024-01-15,Berlin,Email,0.0,16234,706,52
2024-01-15,Berlin,Organic,0.0,35478,1161,65
2024-01-15,Berlin,Affiliate,2846.0,104726,2419,74
2024-01-22,Berlin,Google Ads,10067.41,378298,7173,444
2024-01-22,Berlin,Meta,8768.54,325844,4930,287
2024-01-22,Berlin,Email,0.0,12452,626,61
2024-01-22,Berlin,Organic,0.0,34905,958,75
2024-01-22,Berlin,Affiliate,3070.68,116419,2747,177
2024-01-29,Berlin,Google Ads,10253.2,332739,8666,471
2024-01-29,Berlin,Meta,8912.34,342034,10005,616
2024-01-29,Berlin,Email,0.0,8779,281,14
2024-01-29,Berlin,Organic,0.0,22941,459,32
2024-01-29,Berlin,Affiliate,2625.98,74398,2266,80
2024-02-05,Berlin,Google Ads,9597.71,332989,5961,361
2024-02-05,Berlin,Meta,9149.4,342377,8253,411
2024-02-05,Berlin,Email,0.0,17639,570,35
2024-02-05,Berlin,Organic,0.0,16067,573,44
2024-02-05,Berlin,Affiliate,3151.49,116888,2147,84
2024-02-12,Berlin,Google Ads,9775.73,322283,10857,423
2024-02-12,Berlin,Meta,9620.85,270928,8364,549
2024-02-12,Berlin,Email,0.0,13228,412,26
2024-02-12,Berlin,Organic,0.0,32997,1296,101
2024-02-12,Berlin,Affiliate,2861.1,99753,3312,155
2024-02-19,Berlin,Google Ads,10029.3,362763,7042,300
2024-02-19,Berlin,Meta,9231.92,270156,4596,199
2024-02-19,Berlin,Email,0.0,12875,443,23
2024-02-19,Berlin,Organic,0.0,39499,1157,80
2024-02-19,Berlin,Affiliate,2945.53,104172,2975,107
2024-02-26,Berlin,Google Ads,8824.01,302160,10192,607
2024-02-26,Berlin,Meta,9358.98,356629,12428,493
2024-02-26,Berlin,Email,0.0,13645,485,43
2024-02-26,Berlin,Organic,0.0,24321,496,31
2024-02-26,Berlin,Affiliate,2961.13,116073,3638,214
