city,cohort_week,weeks_since_acquisition,cohort_size,active_customers,revenue
Berlin,2024-01-01,0,631,609,130320.43
Berlin,2024-01-01,4,631,448,106965.71
Berlin,2024-01-01,8,631,336,71948.26
Berlin,2024-01-01,12,631,261,58520.85
Berlin,2024-01-08,0,615,550,129876.54
Berlin,2024-01-08,4,615,451,97750.42
Berlin,2024-01-08,8,615,341,73217.07
Berlin,2024-01-08,12,615,237,54042.8
Berlin,2024-01-15,0,613,569,133147.38
Berlin,2024-01-15,4,613,437,91685.79
Berlin,2024-01-15,8,613,326,70725.52
Berlin,2024-01-15,12,613,225,46596.07
Berlin,2024-01-22,0,606,606,136870.99
Berlin,2024-01-22,4,606,439,99982.34
Berlin,2024-01-22,8,606,330,71931.19
Berlin,2024-01-22,12,606,238,51571.51
Berlin,2024-01-29,0,618,618,134483.96
Berlin,2024-01-29,4,618,417,93480.26
Berlin,2024-01-29,8,618,338,81035.73
Berlin,2024-01-29,12,618,263,56893.56
Berlin,2024-02-05,0,602,586,130112.78
Berlin,2024-02-05,4,602,465,105283.24
Berlin,2024-02-05,8,602,314,66492.41
Berlin,2024-02-05,12,602,238,51934.43
Berlin,2024-02-12,0,616,570,123372.59
Berlin,2024-02-12,4,616,451,104759.46
Berlin,2024-02-12,8,616,326,72417.95
Berlin,2024-02-12,12,616,256,54863.13
Berlin,2024-02-19,0,631,631,135145.64
Berlin,2024-02-19,4,631,449,103109.24
Berlin,2024-02-19,8,631,359,78287.05
Berlin,2024-02-19,12,631,264,60149.6
Berlin,2024-02-26,0,589,589,137420.56
Berlin,2024-02-26,4,589,448,96726.01
Berlin,2024-02-26,8,589,322,75013.52
Berlin,2024-02-26,12,589,220,48591.22
Berlin,2024-03-04,0,621,560,122343.35
Berlin,2024-03-04,4,621,479,108753.84
Berlin,2024-03-04,8,621,317,71848.69
Berlin,2024-03-04,12,621,255,51539.66
Berlin,2024-03-11,0,641,626,130987.93
Berlin,2024-03-11,4,641,470,109497.56
Berlin,2024-03-11,8,641,363,79282.0
Berlin,2024-03-11,12,641,273,66388.87
Berlin,2024-03-18,0,629,629,140462.38
Berlin,2024-03-18,4,629,435,105752.68
Berlin,2024-03-18,8,629,353,78430.31
Berlin,2024-03-18,12,629,257,50677.62
Berlin,2024-03-25,0,622,622,136872.71
Berlin,2024-03-25,4,622,475,96437.71
Berlin,2024-03-25,8,622,328,73675.13
Berlin,2024-03-25,12,622,253,54138.4
Berlin,2024-04-01,0,643,643,148873.65
Berlin,2024-04-01,4,643,471,103944.65
Berlin,2024-04-01,8,643,350,84362.02
Berlin,2024-04-01,12,643,271,53965.97
Berlin,2024-04-08,0,654,622,139137.79
Berlin,2024-04-08,4,654,480,96405.02
Berlin,2024-04-08,8,654,355,78460.94
Berlin,2024-04-08,12,654,255,57100.11
Berlin,2024-04-15,0,648,648,149051.95
Berlin,2024-04-15,4,648,496,113961.75
Berlin,2024-04-15,8,648,367,90596.62
Berlin,2024-04-15,12,648,258,58774.67
