week,city,new_customers,revenue,contribution_margin
2024-01-01,Berlin,631,143024.34,0.44
2024-01-08,Berlin,615,141435.04,0.44
2024-01-15,Berlin,613,147213.32,0.44
2024-01-22,Berlin,606,137524.09,0.44
2024-01-29,Berlin,618,146096.77,0.44
2024-02-05,Berlin,602,145153.61,0.44
2024-02-12,Berlin,616,138506.59,0.44
2024-02-19,Berlin,631,144807.94,0.44
2024-02-26,Berlin,589,142658.34,0.44
2024-03-04,Berlin,621,147686.43,0.44
2024-03-11,Berlin,641,147466.59,0.44
2024-03-18,Berlin,629,144363.47,0.44
2024-03-25,Berlin,622,138496.09,0.44
2024-04-01,Berlin,643,147313.66,0.44
2024-04-08,Berlin,654,152120.28,0.44
2024-04-15,Berlin,648,149305.66,0.44
2024-04-22,Berlin,662,156275.21,0.44
2024-04-29,Berlin,636,151428.66,0.44
2024-05-06,Berlin,659,160664.66,0.44
2024-05-13,Berlin,639,149121.21,0.44
2024-05-20,Berlin,644,152329.45,0.44
2024-05-27,Berlin,645,152438.65,0.44
2024-06-03,Berlin,643,157386.48,0.44
2024-06-10,Berlin,648,157798.46,0.44
2024-06-17,Berlin,651,151713.97,0.44
2024-06-24,Berlin,665,150267.77,0.44
2024-07-01,Berlin,662,157523.52,0.44
2024-07-08,Berlin,643,141236.43,0.44
2024-07-15,Berlin,643,159470.34,0.44
2024-07-22,Berlin,660,144770.89,0.44
2024-07-29,Berlin,645,152427.34,0.44
2024-08-05,Berlin,666,158152.66,0.44
2024-08-12,Berlin,658,158143.03,0.44
2024-08-19,Berlin,631,133049.05,0.44
2024-08-26,Berlin,629,158681.3,0.44
2024-09-02,Berlin,652,153052.56,0.44
2024-09-09,Berlin,637,144478.93,0.44
2024-09-16,Berlin,651,152156.67,0.44
2024-09-23,Berlin,638,153470.96,0.44
2024-09-30,Berlin,636,156996.14,0.44
2024-10-07,Berlin,652,153748.46,0.44
2024-10-14,Berlin,655,165008.63,0.44
2024-10-21,Berlin,652,149425.84,0.44
2024-10-28,Berlin,633,143287.19,0.44
2024-11-04,Berlin,619,142400.04,0.44
2024-11-11,Berlin,624,138276.27,0.44
2024-11-18,Berlin,628,146017.36,0.44
2024-11-25,Berlin,641,147879.49,0.44
2024-12-02,Berlin,636,145533.69,0.44
2024-12-09,Berlin,635,144873.44,0.44
2024-12-16,Berlin,635,146593.8,0.44
2024-12-23,Berlin,618,147185.03,0.44
2024-12-30,Berlin,641,149234.89,0.44
2025-01-06,Berlin,640,141803.83,0.44
2025-01-13,Berlin,622,143392.9,0.44
2025-01-20,Berlin,627,148444.13,0.44
2025-01-27,Berlin,670,152854.47,0.44
2025-02-03,Berlin,632,155293.21,0.44
2025-02-10,Berlin,639,143396.23,0.44
2025-02-17,Berlin,642,157855.53,0.44
2025-02-24,Berlin,619,136594.23,0.44
2025-03-03,Berlin,629,150516.82,0.44
2025-03-10,Berlin,647,155806.62,0.44
2025-03-17,Berlin,646,154957.78,0.44
2025-03-24,Berlin,665,167304.1,0.44
2025-03-31,Berlin,643,138919.36,0.44
2025-04-07,Berlin,666,153674.35,0.44
2025-04-14,Berlin,649,147417.65,0.44
2025-04-21,Berlin,667,164502.6,0.44
2025-04-28,Berlin,646,157564.31,0.44
2025-05-05,Berlin,647,150299.06,0.44
2025-05-12,Berlin,650,165717.43,0.44
2025-05-19,Berlin,656,149925.86,0.44
2025-05-26,Berlin,668,147594.08,0.44
2025-06-02,Berlin,688,169137.13,0.44
2025-06-09,Berlin,649,144891.69,0.44
2025-06-16,Berlin,658,159456.59,0.44
2025-06-23,Berlin,666,156461.56,0.44
2025-06-30,Berlin,671,154412.87,0.44
2025-07-07,Berlin,655,152760.87,0.44
2025-07-14,Berlin,651,158578.27,0.44
2025-07-21,Berlin,672,150539.09,0.44
2025-07-28,Berlin,677,173880.01,0.44
2025-08-04,Berlin,667,152374.06,0.44
2025-08-11,Berlin,657,156451.74,0.44
2025-08-18,Berlin,677,146317.12,0.44
2025-08-25,Berlin,693,155041.94,0.44
2025-09-01,Berlin,701,159492.25,0.44
2025-09-08,Berlin,654,149041.68,0.44
2025-09-15,Berlin,671,158911.17,0.44
2025-09-22,Berlin,658,148609.78,0.44
2025-09-29,Berlin,659,158167.04,0.44
2025-10-06,Berlin,723,171642.44,0.44
2025-10-13,Berlin,712,167217.09,0.44
2025-10-20,Berlin,719,172844.22,0.44
2025-10-27,Berlin,735,167190.92,0.44
2025-11-03,Berlin,699,160569.62,0.44
2025-11-10,Berlin,716,156889.42,0.44
2025-11-17,Berlin,691,156468.05,0.44
2025-11-24,Berlin,700,157910.59,0.44
2025-12-01,Berlin,685,156758.53,0.44
2025-12-08,Berlin,688,161229.52,0.44
2025-12-15,Berlin,719,166916.28,0.44
2025-12-22,Berlin,695,160393.94,0.44
2024-01-01,Munich,424,105764.89,0.549
2024-01-08,Munich,381,89424.88,0.549
2024-01-15,Munich,404,96806.06,0.549
2024-01-22,Munich,392,99504.89,0.549
2024-01-29,Munich,394,99045.93,0.549
2024-02-05,Munich,379,94614.32,0.549
2024-02-12,Munich,393,102210.55,0.549
2024-02-19,Munich,411,100535.44,0.549
2024-02-26,Munich,387,91045.75,0.549
2024-03-04,Munich,412,106739.02,0.549
